host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,Number of amenities,guests_included,price_per_extra_person,minimum_nights,number_of_reviews,number_days_btw_first_last_review,review_scores_rating,cancellation_policy
0,1,Jamaica Plain,42.32274731,-71.11033371,Apartment,Entire home/apt,5,1,2,3,Real Bed,13,2,10,1,19,499,79,strict
0,0,Jamaica Plain,42.31576896,-71.11289367,Apartment,Entire home/apt,2,1,1,1,Real Bed,15,2,0,4,26,394,92,strict
0,1,Jamaica Plain,42.30401959,-71.10493709,Apartment,Entire home/apt,2,1,1,1,Real Bed,14,1,0,2,5,46,96,strict
1,1,Jamaica Plain,42.31779833,-71.1040344,House,Private room,5,1,1,2,Real Bed,23,1,34,2,48,670,100,strict
0,1,Jamaica Plain,42.32411924,-71.10669945,House,Private room,3,1,1,2,Real Bed,2,1,0,2,15,150,93,flexible
0,1,Jamaica Plain,42.30957368,-71.10629241,House,Entire home/apt,2,1.5,1,1,Real Bed,11,1,0,5,1,0,80,strict
1,1,Jamaica Plain,42.3023644,-71.11490982,House,Entire home/apt,2,1,1,1,Real Bed,15,1,0,2,104,685,98,moderate
1,1,Jamaica Plain,42.30509466,-71.11347198,House,Private room,2,1,1,1,Real Bed,19,0,0,2,41,463,98,flexible
0,1,Jamaica Plain,42.30979784,-71.10174213,Apartment,Private room,2,1,1,1,Real Bed,13,1,45,2,15,369,97,moderate
0,1,Jamaica Plain,42.30514213,-71.10732686,Apartment,Private room,2,1,1,1,Real Bed,13,1,0,1,10,623,86,moderate
1,1,Jamaica Plain,42.29982378,-71.1125722,Condominium,Private room,1,1,1,1,Real Bed,20,0,0,28,184,712,96,moderate
0,1,Jamaica Plain,42.31408312,-71.09973817,Apartment,Private room,1,1,1,1,Real Bed,5,1,0,7,1,0,80,flexible
0,0,Jamaica Plain,42.30731115,-71.10339731,Apartment,Shared room,1,1,1,1,Real Bed,12,1,0,1,1,0,60,flexible
0,1,Jamaica Plain,42.2909887,-71.1127371,House,Private room,2,1,1,1,Real Bed,19,2,10,2,12,118,90,moderate
0,1,Jamaica Plain,42.30866054,-71.10156432,Apartment,Private room,2,1,1,1,Real Bed,13,2,0,2,42,1064,95,flexible
0,1,Jamaica Plain,42.32137451,-71.1060596,House,Private room,2,1,1,1,Real Bed,18,1,20,3,10,128,94,moderate
0,1,Jamaica Plain,42.32002043,-71.10459796,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,15,1,0,7,1,0,100,strict
0,0,Jamaica Plain,42.29366808,-71.11789414,Condominium,Private room,2,1,1,1,Real Bed,16,2,20,2,1,0,100,strict
0,1,Jamaica Plain,42.30601751,-71.10953839,Apartment,Private room,2,1.5,1,1,Real Bed,16,1,10,3,60,1172,96,moderate
1,1,Jamaica Plain,42.29552807,-71.11929019,Apartment,Private room,2,1,1,2,Real Bed,17,2,25,1,173,705,97,flexible
